# Bundesland;Name des Betriebs ;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH;CP;SH;CP;GHE;CP;MM;MP;MSM;PP;CC;PP;CC;PP;CC;PP;CC;PP;CC;PP;EPC;LEP;PP;AH;FV;ZV;FFPP;PP;WM;PC;DC;PP;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;
NW;Fleischerei Heinz Kohlen;Alte Landstraße 100;41844 Wegberg;;NW 70171;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
NW;Bischofs Fleischwaren GmbH;Brabanter Straße 57;52525 Waldfeucht;;NW 70172;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Karl-Heinz Spieker-Siebrecht;Derenbornstraße 24;37671 Höxter;;NW 30301;;;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Fleischwaren Uwe Horstmann;In den Wiesen 9;32469 Petershagen;;NW 30186;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Fleischerei Wilhelm Schröder;Lemförder Straße 7;32369 Rahden;;NW 30185;;;;;B, C, O, P, S;B, C, O, P, S;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Gemeinsame Küche des Erzbistums Paderborn;An den Kapuzinern 5-7;33098 Paderborn;;NW 30294;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Franz Nutt;Mühlenwinkel 3a;37671 Höxter;;NW 30293;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
MV;Ostsee Fisch GmbH & Co. Produktions- und Vertriebs KG, Werk 2;Hansestraße 12;18182 Bentwisch;;MV 25005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
RP;Rudi Eisenbarth;Hauptstraße 31;67278 Bockenheim an der Weinstraße;;RP 08032;;;;;;;;;;;;wA, wL, wU, wG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;St. Antoniusheim Fulda gGmbH;An St. Kathrin 4;36041 Fulda;;HE 30910;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;
HH;Pearl Caviar Luxury Goods GmbH;Dockenhudener Straße 30;22587 Hamburg;;HH 00051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
MV;Fischerei- und Verarbeitungsbetrieb Klaus-Dieter Dehmel;Schillerstraße 13b;19406 Dabel;;MV 15004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;
BY;Auf Draht gGmbH;Drahtzieherstraße 6;91154 Roth;;BY 50503;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;X;;;;;;Catering/Großküche;;;;
BW;Krone Metzgerei Wolfgang Strohmeier;Gentnerstraße 2;79677 Schönau;;BW 53048;;;;;B, O, C;B, O, C, P;;;;;;wU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;WIR-Ausbildungszentrum;Kiesenbacher Straße 73;79774 Albbruck;;BW 58057;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;X;;;;;;Catering/Großküche;;;;
BW;Reinhold Kleinert;Augustenbergstraße 34;76229 Karlsruhe;;BW 39019;;;;;;;;;;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hofmetzgerei Völler;Ludwigstraße 32A;86669 Königsmoos;;BY 10378;;;;;;B, O, P;;;;;wA, wL, wU, wG;;;B, P, A, wL, wU, wG;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Helmut Zwingler;Von-Sickenhauser-Straße 10;85391 Allershausen;;BY 17049;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Metzgerei Sellner, Betriebsinhaberin Margit Petzi;Waldvereinsweg 21;94078 Freyung;;BY 20411;;;;;;B, P;;;;;;;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ST;Klemme AG;Industriestraße  4;06295 Lutherstadt Eisleben;;ST 00308;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ST;Hochschulkrug;Strenzfelder Allee  28;06406 Bernburg (Saale);;ST 00309;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
ST;MB Food Oriental GmbH;Hauptstraße  32;06917 Jessen (Elster) OT Holzdorf;;ST 00311;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
ST;Sodexo SCS GmbH, Küche Halle-Ammendorf;Camillo-Irmscher-Straße  4;06132 Halle;;ST 00264;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
NW;Bizim Et GmbH;Marktstraße 10;50968 Köln;;NW 70372;;;;;;B;;A;;;;;B, O, A;B, O, A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Marten Fleischwaren Verkaufs GmbH;Unnauer Weg 6a;50767 Köln;;NW 70081;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Fleischgroßhandel Simon;Röhfeldstraße 21;53227 Bonn;;NW 70386;;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Karl-Heinz Pitton;Hauptstraße 52;56477 Rennerod;;RP 24010;;;;;S, B, O, P, C;S, B, O, P, C;;;R, fG;R, fG;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Kartoffelhof Engmann GbR;Außerhalb 48;55268 Nieder-Olm;;RP 16027;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;Katholisches Klinikum Marienhof/St. Josef   gGmbH, Brüderhaus Küche;Kardinal-Krementz-Straße 1-5;56073 Koblenz;;RP 27012;;;;;;;;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;Klaus Neu;Ortsstraße 36;67808 Schönborn;;RP 12014;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Klosterfischerei Maria Laach;Hauptstraße 30;56653 Wassenach;;RP 02012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;
RP;Knospenhof;Bergstraße 8;54317 Herl;;RP 22028;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
RP;Krankenhaus der Barmherzigen Brüder;Koblenzer Straße 11-13;56410 Montabaur;;RP 24048;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;Küchenbetrieb Kindergarten Paulusheim;Martin-Luther-Straße 33;67454 Hassloch;;RP 08010;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
RP;Kurt Herbert Hähn;Scheidterhof 1;56330 Kobern-Gondorf;;RP 15024;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
RP;Laeisenhof GmbH;Laeisenhof 1;54668 Ferschweiler;;RP 05020;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
RP;Landmetzgerei Bodo Bein;Hochstraße 3;56317 Linkenbach;;RP 17003;;;;;B;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Landmetzgerei Gunther Willenbücher;Osthofener Landstraße 12;67593 Westhofen;;RP 03007;;;;;P;S, B, O, P, C;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Landmetzgerei Klomann;Hauptstraße 34;67229 Großkarlbach;;RP 08017;;;;;;B, P;;A, L;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Röder GmbH & CO. KG;Wormser Straße 6;67269 Grünstadt;;RP 08004;;;;;;S, B, O, P, C;;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Roland Schreiner;Zwerchgasse 16;67376 Harthausen;;RP 18013;;;;;;;;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Rudi Frank - Hausschlachtungsbetrieb;Gartenweg 2;56288 Bell;;RP 19011;;;;;S, B, O, P, C;S, B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Schäferei Daxweiler GbR, Inh.: Peter Boettge;Ingelheimer Straße 11;55442 Daxweiler;;RP 11024;;;;;S, B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Schäferei Popp;Hasslocher Straße 13;67433 Neustadt an der Weinstraße;;RP 30003;;;;;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Schlachbetrieb Canisius Seckinger;Rohrweiherweg 8;67150 Niederkirchen;;RP 08018;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Schlacht-, Zerlege- und Verarbeitungsbetrieb, Inh.: Andreas Becker;Thiergartenstraße 27;55496 Argenthal;;RP 19008;;;;;S, B, O, P, C;S, B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Schlachtbetrieb Horn;Zum Rheintal 5;55432 Damscheid;;RP 19010;;;;;S, B, O, P, C;S, B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Schlachtbetrieb Karl Erich Reimer;Buchenhof 1;56290 Sevenich;;RP 19034;;;;;B, P;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Schlachterei Richard Romes;Hauptstraße 20;53539 Welcherath;;RP 07012;;;;;S, B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Schlachterei-Fleischerei Jonas;Dorfstraße 12;56729 Herresbach;;RP 15010;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Schwälbchen Frischdienst GmbH;Robert-Koch-Straße 44;55129 Mainz;;RP 29009;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Fleischerei Franzen, Inh.: Günter Schäfer;St. Helena Straße 23;54294 Trier;;RP 33017;;;;;;S, B, O, P, C;;;;;wA, wL, wU, wG;wA, wL, wU, wG;S, B, O, P, C, A, L, fG, wL, R, wU, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;Fleischerei Peters;Hauptstraße 12;54626 Winterspelt;;RP 05002;;;;;;B, P, C, O;;;;fG, R;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Landmetzgerei Schares;Kirchstraße 12;54636 Baustert;;RP 05005;;;;;;B, P, O;;;;;;wA, wL, wU, wG;S, B, O, P, C, A, L, fG, wL, R, wU, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Fleischerei Stefan Tix;Bahnhofstraße 11;54608 Bleialf;;RP 05008;;;;;S, B, O, P, C;S, B, O, P, C;;;fG, R;fG, R;;wA, wL, wU, wG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Gebr. Meyer Fleischwarengroßhandel GmbH;Liebigstraße 120;50823 Köln;;NW 70080;;;;;;B, C, O, P;;;;;;;;B, C, O, P, S, L, A, fG, R, wA, wL, wU, wG;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Landmetzgerei Lothar Klos;Bahnhofstraße 3;54314 Zerf;;RP 22010;;;;;;B, P;;;;;wU, wA, wG, wL;wU, wA, wG, wL;;S, B, O, P, C, A, L, fG, R, wU, wA, wG, wL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Landmetzgerei Roland Benz;Lange Straße 22;67879 Ottersheim;;RP 10003;;;;;B, O, P;B, O, P;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Landmetzgerei Schmidt, Inh.: Kurt Jürgen Schmidt;Einrichstraße 2;56368 Katzenelnbogen;;RP 09009;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Landmetzgerei Wolf;Hauptstraße 26;55490 Woppenroth;;RP 19016;;;;;S, B, O, P, C;S, B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Landwirtschaftliche Erzeugnisse Scheidterhof GmbH;Scheidterhof 1;56330 Kobern-Gondorf;;RP 15013;;;;;S, B, O, P, C;S, B, O, P, C;;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Lebenshilfe gGmbH;Luitpoldstraße 27;76770 Hatzenbühl;;RP 10026;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;Lebensittelgroßhandel Ginsberg;Mainzer Straße 22-23;55422 Bacharach;;RP 16020;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Leo Friedrich;Dr. Luschberger Straße 6;56422 Wirges;;RP 24046;;;;;;S, B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Lothar Seifen;Mittelstraße 2;57632 Schürdt;;RP 01022;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
RP;Schlacht- und Zerlegebetrieb Hildegard Fischer;Auf der Bausch  81;54293 Trier;;RP 33001;;;;;B;B;;;;;;;S, B, O, P, C, A, L, fG, R, wU, wA, wG, wL;S, B, O, P, C, A, L, fG, R, wU, wA, wG, wL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Seniorendorf Stegelchen;Am Stegelchen 1;57561 Herdorf;;RP 01039;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;Seniorenresidenz Weinbrenner Am Rosenberg GmbH;Rosenbergstraße 27;56579 Hardert;;RP 17029;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;Seniorenzentrum Haus Edelberg;Adenauerring 11;76756 Bellheim;;RP 10019;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;Silvia Missy;Californiastraße 17;66482 Zweibrücken;;RP 35002;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;St. Elisabeth Krankenhaus;Kirchbergstraße 14;66976 Rodalben;;RP 21028;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;St. Hildegardishaus gGmbH Jugend- und Behindertenhilfe Gastronomie St. Martin am Standort Ulmen;Eifel-Maar-Park 11;56766 Ulmen;;RP 06015;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;Stadtklinik Service GmbH;Elsa-Brandström-Straße 1;67227 Frankenthal;;RP 25002;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;Stefan Kessel, Catering - Service - Events;Kaiser-Wilhelm-Straße 11;67550 Worms;;RP 34010;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
RP;Stefan Unger;Hauptstraße 67;53424 Remagen;;RP 02025;;;;;;B, O, P;;;;;wL, wU, wG, wA;wL, wU, wG, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Deutsches Wildbret Vertriebsgesellschaft Bitburg LTD & Co. KG;Ludwig-Jahn-Staße 4;54634 Bitburg;;RP 05010;;;;;;;;A, L;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Fleischerei Krippes;Enztalstraße 25;54675 Mettendorf;;RP 05012;;;;;S, B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;B & M Vieh- und Fleischhandels GmbH;Hauptstraße 19;54619 Üttfeld;;RP 05014;;;;;B, C, O;B, P, C, O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Fleischerei Stefan Tix;Teichstraße  3;54595 Prüm;;RP 05028;;;;;;;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Deutsches Institut für Lebensmitteltechnik e. V.;Prof.-von-Klitzing-Straße 7;49610 Quakenbrück;;NI 11183;;;;;;;;;;;;;;B, C, O, P, L, A, fG, R, wA, wL, wU, wG;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
BY;METRO Großhandels mbH, METRO Eibach;Donaustraße 135;90451 Nürnberg;BY-EFU 511; ;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Knut Horstmann;Schamerloh 1;31606 Warmsen;;NI 10940;;;;;;;;;fG;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Nordfrost GmbH & Co. KG;Riedbrunnenstraße 2;71116 Gärtringen;;BW 01074;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Metzgerei Sack;Stephanstraße 16b;76316 Malsch;;BW 33048;;;;;;B, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Metzgerei - Gasthaus zum Hirsch;Beilsteinerstraße 1;71720 Oberstenfeld;;BW 16212;;;;;;B, P, O;;;;;;;;B, P, O;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Struzina-Rauschen GmbH;Liebigstraße 120;50823 Köln;;NW 70380;;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Seniorenhaus St. Liborius;Bieketurmstraße 9;57439 Attendorn;;NW 10311;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;GDS GmbH, SMMP / Coavia -  Wohn- und Pflegezentrum 'Haus Maria';Haholdstraße 8;59597 Erwitte;;NW 10303;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
RP;Anke Pirkl;Wambacherhof 1;67808 Falkenstein;;RP 12016;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Manfred Bleyl;Mutterstadter Straße 29;67071 Ludwigshafen am Rhein;;RP 28011;;;;;;B, P;;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Manfred Grewe;Seiferhof 1;53560 Vettelschoß;;RP 17020;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
RP;Manfred Weyer;Lindenstraße 5;57629 Kundert;;RP 24012;;;;;S, B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Marie Hilf RLP gGmbh;Südring 8;56428 Dernbach;;RP 17033;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;Marienhaus Klinikum St. Josef;Entengasse 4-6;56170 Bendorf;;RP 15038;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;Marina Maissak;Schwimmbadstraße 10;56648 Unnau;;RP 24053;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Markus Schäfer;Ringstraße 6;57629 Limbach;;RP 24018;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Martin Becker Vulkaneifelhof;Dauner Straße 24b;54531 Manderscheid;;RP 23024;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
RP;Mathias Fischer;Hauptstraße 11;67141 Neuhofen;;RP 18005;;;;;P;;;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Matthias Solbach;Stangenhahnstraße 16;57520 Steinebach/Sieg;;RP 01007;;;;;B, O, P;B, P;;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Maudacher Werkstätten;Schweigener Straße 1;67067 Ludwigshafen am Rhein;;RP 28005;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;Maxein, Markus - Fleischereigeschäft Maxein;Hauptstraße 51-53;56566 Neuwied;;RP 17011;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Menü-Serice Sericebetrieb der Inneren Mission e. V.;Dr. Kaufmann Straße 2;67098 Bad Dürkheim;;RP 08014;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
RP;Metzgerei & Feinkost Manfred Hasch;Theodor-Storm-Straße 68;67551 Worms;;RP 34001;;;;;B, P;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Straußenfarm Gemarkenhof;Auf Plattborn 7;53424 Remagen;;RP 02005;;;;;;;;;R, fG;R, fG;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Sylvia Strickhausen;Waldweg 3;57632 Flammersfeld;;RP 01028;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
RP;Thomas Christian;Hauptstraße 27;56459 Stockum-Püschen;;RP 24005;;;;;S, B, O, P, C;S, B, O, P, C;;;;R, fG;;wL, wU, wG, wA;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Tina's Partyservice;Bonnerstraße 24;53501 Grafschaft-Gelsdorf;;RP 02027;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;TORO GmbH;Forsthaus Beckenhof 1;66955 Pirmasens;;RP 21029;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Ulrich Becker;Pfahlbitz 5;56457 Westerburg;;RP 24028;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Ulrich Rahn;Talstraße 14;57647 Hirtscheid;;RP 24035;;;;;S, B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Vieh- und Fleischhandlung Guido Müller GmbH;Raiffeisenstraße 7b;55619 Hennweiler;;RP 11018;;;;;S, B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Vitalis GmbH Seniorenpflege, Haus Martin;Hauptstraße 113;66976 Rodalben;;RP 21032;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
RP;Volker Hasselbach;Im Winkel 1;56470 Bad Marienberg;;RP 24036;;;;;S, B, O, P, C;;;;R, fG;R, fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Wasgauland C & C GmbH;Winzler Straße 156;66955 Pirmasens;;RP 31005;;;;;;B, P;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
RP;Werner Hauter;Großsteinhauser Mühle 1;66484 Großsteinhausen;;RP 21024;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
NW;ServiceDo GmbH - Zentralküche im Klinikum Dortmund;Beurhausstraße 40;44137 Dortmund;;NW 10312;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
HE;Fleischerei Fackiner;Pfauenweg 1;35114 Haina (Kloster);;HE 30384;;;;;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH;JugendSozialwerk Nordhausen e.V., Großküche;Karl-Meyer-Straße  16;99734 Nordhausen;;TH 03533;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BY;Aramark GmbH;Dr. Albert-Frank-Straße 32;83308 Trostberg;;BY 10766;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
BB;Berthold Kleff;Oberer Westring 35;33142 Büren;NW-EZ-204; ;;;;;;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Stefan Arnold;Steinbacher Straße 3;91174 Spalt;;BY 50498;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;SV Business Catering GmbH, c/o Betriebskantine Dr. Willmar Schwabe;Dr. Willmar-Schwabe-Straße 4;76227 Karlsruhe;;BW 39017;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
BW;S&A Gastro Service KG;Ballendorfer Weg 5;89177 Börslingen;;BW 70982;;;;;;;;;;;;;;;;mp;;;;;;;;;;X;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NI;Küchenfreundins Catering;Hirtenstraße 7;30974 Wennigsen (Deister);;NI 10980;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
NI;Christophorushaus Göttingen gGmbH;Theodor-Heuss-Straße 45;37075 Göttingen;;NI 10976;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NI;St.-Marien-Küchen-GmbH;Am Wendehof 3;38550 Isenbüttel;;NI 10982;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
SN;Gallowayzucht Sebastian Schubert;Äußere Altenhainer Straße 9/ 1;09669 Frankenberg OT Altenhain;;SN 10660;;;;;B, O, P, C;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Martina Wieland;Hasenpfad 7;53881 Euskirchen;;NW 70383;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Sebastian Schäfer;Rehbergstraße 63;51709 Marienheide;;NW 70368;;;;;;;;;;;;;;;;;;;;;;;;;;B, C, O;;;;;;;;;;;;;;;;;;
