Resultat der Anfrage

Treffer: 3570
Sektion 0 285 Treffer

Bew.Nr.;BURNR;Name;Strasse;PLZ;Ort/Kanton;Kategorie;weitere Aktivitäten;Spezies;Bem.;
61582234;61582234;bofrost suisse AG;Schwerzistrasse 4;8807;Freienbach SZ;CS;;;;
61712818;61712818;Zahner Fischhandel AG;Hof 15;8737;Gommiswald SG;CS, RW; DC (VII),  WM (VIII),  FFPP (VIII),  PP (XI);;;
61753699;61753699;G. Bianchi AG, Comestibles;Allmendweg 6;5621;Zufikon AG;CS, RW; GHE (IV),  MP (V),  DC (VII),  PP (VIII),  PP (XI);;;
62221021;62221021;Braschler's Comestibles Import AG;Geroldstrasse 5;8005;Zürich ZH;CS; PP (VIII),  FFPP (VIII);;;
62253070;62253070;TK-Center Birrfeld AG;Industriestrasse  21;5242;Birr-Lupfig AG;CS;;;;
62364415;62364415;Gate Gourmet Switzerland GmbH Catering Aerien / QVGP;route de l'Aéroport 1;1216;Cointrin GE;RW; PP (VI);;;
62557171;74929119;Canonica SA;chemin des Batailles 18;1214;Vernier GE;RW; PP (VI);;;
62842706;62842706;Gastro Käse-Service AG;Sagistrasse 12;6275;Ballwil LU;CS, RW, WM;;;;
63219029;63219029;W. Husmann Logistik AG;Schachenweidstrasse 4 ;6105;Schachen LU;CS;;;;
63593380;63593380;LSG Sky Chefs - First Catering Schweiz AG;Grindelstrasse 11;8303;Bassersdorf ZH;CS, RW, WM; PP (VI);;;
63887420;63887420;Ernst Sutter AG, Suttero - Depot Rothrist;Juraweg  30;4852;Rothrist AG;RW; CP (I);;;
64118595;64118595;Ernst Sutter SA, Fleischwarenfabrik Viandes en Gros;Av. du Chablais  18;1008;Prilly VD;CS, RW, WM; CP (I);;;
64399185;64399185;I Salumi del Pin SA, Salumificio;Via Stella 14;6850;Mendrisio TI;RW; CP (I),  MP (V);;;
64472484;64472484;Serra - Poissons Frais;Rue du Port 40;1815;Clarens VD;CS, RW, WM; DC (VII),  WM (VIII),  FFPP (VIII);;;
64513114;64513114;Pico Bio AG, Biologische Lebensmittel Engros;Silbernstrasse 10;8953;Dietikon ZH;CS; MM (V),  MP (V),  PP (IX);;;
65133427;65133427;Frostag Food-Centrum; ;7302;Landquart GR;CS, RW; PP (VI),  PP (VIII),  MP (VIII);;;
65519400;65519400;Ogiz S. A.;Rue des Uttins 36;1400;Yverdon-les Bains VD;CS, RW, WM; CP (I),  CP (II),  CP (III),  CP (IV),  GHE (IV),  MM (V),  MP (V),  PP (VI),  PP (XII);;;
65719866;75467046;COVEDIS SA; ;1010;Lausanne VD;CS, RW; CP (I),  DC (VII),  PP (VIII);;;
65848838;65848838;Felicious Käse & Wein GmbH;Alte Steinhauserstrasse 21;6330;Cham ZG;RW, WM;;;;
65912996;75490600;Perches-Import S.A. Poissons & Produits Alimentaires;chemin du Crêt  2;1279;Chavannes-de-Bogis VD;CS, RW, WM; CP (II),  CP (III),  DC (VII),  WM (VIII),  PP (X),  PP (XI);;;
65957625;65957625;Bruno's Best AG;Kägiswilerstrasse 35;6060;Sarnen OW;RW; PP (IX),  PP (X);;;
66001529;66001529;Spaccio Ittico SA;via al Piano 12;6926;Montagnola TI;CS, WM; DC (VII),  WM (VIII),  FFPP (VIII);;;
66072357;66072357;Blättler Kühllogistik AG;Thorenbergstrasse  70;6014;Luzern LU;CS;;;;
66451450;66451450;Frigemo AG, EiCO Lebensmitteln;Weyermannstrasse 18;3000;Bern 5 BE;RW, WM; PP (X),  EPC (X);;;
66500516;66500516;Serfrè AG;via Campagna Adorna 9;6850;Mendrisio TI;CS; CP (I),  CP (II),  CP (III),  PP (VI),  WM (VIII);;;
66650692;66650692;Fideco AG;Länggasse 11;3280;Murten FR;CS, RW; FFPP (VIII);;;
66875801;66875801;Skin Packing S.A.;ZI les Avouillons 20;1196;Gland VD;CS, RW; CP (I),  CP (II),  CP (III),  MP (V),  PP (VI);;;
66889542;66889542;frifag märwil ag, Filiale Zentralschweiz;Grossweid 4;6026;Rain LU;RW; CP (II),  CP (IV),  MP (V);;;
66944271;66944271;Buongusto GmbH;Giessenstrasse  15;8952;Schlieren ZH;CS;;;;
67093971;67093971;Swiss Caps AG;Husenstrasse 35;9533;Kirchberg SG;RW; PP (VI),  PP (VIII),  PP (IX),  PP (X),  PP (XII),  PP (XIV),  PP (XV);;;
67385883;67385883;Micarna SA;Ch. Du Dévent ;1024;Ecublens VD;CS, RW, WM; CP (I),  CP (II),  MP (V);;;
67626591;75057871;Z'graggen Darmhandel AG;Bahnhofstrasse 8;6052;Hergiswil NW;RW; PP (XIII);;;
67973237;67973237;Reichmuth Tiefkühllager AG;Seewenstrasse 58 58;6440;Brunnen SZ;CS;;;;
67994310;67994310;SWISS Industrial Investment AG;Industriestrasse 135;9200;Gossau SG SG;CS;;;;
68037287;68037287;Ambro Food SA;Via Cantonale ;6802;Rivera TI;RW, WM;;;;
68058690;68058690;Panetta SA, Spezialbrote & Backwaren;Steinhaldenstrasse 14;8954;Geroldswil ZH;CS, RW; PP (VI);;;
68175604;68175604;Fischzucht Pfyn;Hauptstrasse 80;8505;Pfyn TG;CS, RW; FFPP (VIII);;;
68215822;68215822;Tropenhaus Frutigen AG;Tropenhausweg 1;3714;Frutigen BE;CS, RW; PP (VIII),  FFPP (VIII);;;
68272108;68272108;Boucherie-Charcuterie-Traiteur Jean-Jacques Jemmely;Rue du Collège 11;1260;Nyon VD;CS, RW; CP (I),  CP (II),  CP (III),  MP (V),  PP (VI);;;
68983687;73864324;Maurer Spezialitäten;Talstrasse 55;4112;Flüh SO;WM; PP (VI);;;
69087808;70142912;Hugo Dubno AG Lebensmittel;Industriestrasse 11;5604;Hendschiken AG;CS, WM; WM (VIII);;;
69098506;69098506;Ernst Sutter SA Depot Ticino;al Fiume 3;6930;Bedano TI;CS, WM; CP (I),  CP (II),  CP (III),  MP (V);;;
69737394;69737394;Domino Food AG;Herbergstrasse 29;9524;Zuzwil SG SG;CS, RW, WM; MM (V),  MP (V),  PP (VI);;;
70187211;;GrosjeanStettler SA;Aux Carroz ;1509;Vucherens VD;CS, WM; PP (X),  EPC (X),  LEP (X);;;
70911886;70911886;Stadel Fischimport AG Fischverteilhalle;Lachmattstrasse 1 ;4133;Pratteln BL;CS, RW; DC (VII),  PP (VIII),  FFPP (VIII),  AH (VIII);;;
71187113;71187113;Keepcool Transport & Logistik AG;Industriestr. 135;9200;Gossau SG SG;CS;;;;
71215514;71215514;Metzgerei Spahni AG;Meienstrasse 7;3052;Zollikofen BE;RW, WM; MP (V),  PP (VI);;;
71414782;71414782;Pacovis AG (Frionor);Industriestrasse 21;4313;Möhlin AG;RW;;;;
71483545;75116275;Alpprodukte Pragel / Bödmeren Genossenschaft;Büchsenen ;6436;Muotathal SZ;RW; PP (IX);;;
71536076;71536076;ZwyerCaviar GmbH;Speicherstrasse 11;9053;Teufen AR AR;RW;;;;
71650387;71650387;Fuster Rauchspezialitäten GmbH;Gyrenbad 129;8488;Turbenthal ZH;CS, RW; PP (VI);;;
72036914;72036914;Geser Grand Gourmet, Omya (Schweiz) AG;Sagmattstrasse 13;4710;Balsthal SO;WM;;;;
72038471;72038471;SwissBioColostrum AG;Niederwil 4;6330;Cham ZG;RW, WM; PP (IX);;;
72066285;72066285;Mérat & Cie SA;Route de Carrouge 20;1509;Vucherens VD;CS; CP (I),  PP (VI);;;
72249530;72249530;Ziegler Delikat Essen AG;Aspstrasse 12;8154;Oberglatt ZH;CS, RW, WM; MM (V),  MP (V),  PP (VI);;;
72319381;72319381;Bolliger Fleisch AG;Weststrasse 25;8570;Weinfelden TG;CS, RW, WM; MM (V),  MP (V),  PP (VI);;;
72355484;72355484;Carnosa AG;Gaswerkstrasse 76;4900;Langenthal BE;RW, WM; CP (I),  CP (II),  CP (III),  MP (V),  PP (VI);;;
72436384;72436384;Cave du Pont;C.P. 117 ;1342;Le Pont VD;RW, WM; PP (IX);;;
72461113;72461113;A. Aeschbacher Naturdärme GmbH;Käserei ;3439;Ranflüh BE;RW, WM; PP (XIII);;;
72505624;72505624;Alpenswiss AG;Hauptstrasse ;9562;Märwil TG;RW; PP (IX);;;
72559436;72559436;Mérat & Cie AG;Pfingstweidstrasse 101;8021;Zürich ZH;RW; MM (V),  MP (V);;;
73006523;73006523;Metzgerei Würmli AG Fleischverarbeitung;Juchstrasse 29;8500;Frauenfeld TG;CS, RW, WM; CP (I),  CP (II),  MM (V),  MP (V),  MSM (V),  PP (VI);;;
73497430;73497430;Bergsenn AG;Hauptstrasse 5;9562;Märwil TG;RW, WM; PP (IX);;;
73765493;73765493;Fleischtrocknerei Churwalden AG;Riedlöserstrasse 11;7302;Landquart GR;RW; MP (V),  PP (VI);;;
73897204;73897204;Mérat + Cie AG;Binningerst. 148;4123;Allschwil BL;RW;;;;
73955882;86900338;Caseificio Alba Sàrl;Chemin du Vuasset 5;1028;Préverenges VD;RW; PP (IX);;;
74021004;74021004;Hügli Nährmittel AG;Industriestrasse  15;9015;St. Gallen SG;CS, RW; PP (VI),  PP (VIII),  MP (VIII),  PP (IX),  PP (X);;;
74295152;68906813;Spirit Market GmbH;Wegmühlegässli  6;3072;Ostermundigen BE;RW, WM; PP (IX);;;
74403769;74403769;Alpkäserei Glaubenbielen;Glaubenbielen ;6074;Giswil OW;RW; PP (IX);;;
74582684;74582684;Micarna SA, Seafood Fischverarbeitung;Pfingstweidstrasse  101;8005;Zürich ZH;CS, RW, WM; DC (VII),  WM (VIII),  PP (VIII),  FFPP (VIII);;;
74952804;74952804;Micarna SA Seafood;Chemin du Dévent ;1024;Ecublens VD VD;CS; DC (VII),  FFPP (VIII);;;
77334156;77334156;Luma Beef GmbH;Gewerbestrasse  6;8212;Neuhausen am Rheinfall SH;RW; MP (V);;;
77867975;77867975;Kulinarium AG;Oberstrasse 3;3550;Langnau im Emmental BE;WM; PP (IX);;;
78454465;78454465;Genossenschaft Swiss Kebap Produktion (swisskep);Aegertenstrasse 34;4923;Wynau BE;CS, RW, WM; MP (V);;;
78490002;78490002;Suttero, Ernst Sutter AG;Neue Industriestrasse 60;9602;Bazenheid SG;CS, RW; CP (I),  MM (V),  MP (V),  PP (XIII);;;
79432379;79432379;Mérat & Cie. AG;Rue des Finettes 45;1920;Martigny VS;RW; CP (I),  MM (V),  MP (V);;;
81030204;77839454;fromaca ag;Aspiring 4;3425;Koppigen BE;RW, WM; PP (IX);;;
82717242;82717242;Maison d'Alpage SA;Avenue Mon-Repos  14;1005;Lausanne VD;RW, WM;;;;
83211680;42120171;Alex Schönenberger & Co. AG;Kühlhausstrasse 10;9200;Gossau SG SG;CS;;;;
83774886;83774886;Mifroma SA;Industriestrasse 4;9300;Wittenbach SG;CS, RW; PP (IX);;;
84818005;84818005;Casic Einkaufsgenossenschaft der Comestibles Händler;Industriestrasse 23;4313;Möhlin AG;CS, RW;;;;
85135121;85135121;Keller Lebensmittelhandel;Manesseplatz  88;8045;Zürich ZH;CS;;;;
87226195;87226195;Pastinella Zweigniederlassung ORIOR MENU AG;Mülacher  5;6024;Hildisrieden LU;CS; PP (VI);;;


Sektion I 724 Treffer

Bew.Nr.;BURNR;Name;Strasse;PLZ;Ort/Kanton;Kategorie;weitere Aktivitäten;Spezies;Bem.;
 69519825;;Schlachthof Zermatt; ;3920;Zermatt VS;SH;;B, C, O;;
 85808642;;Chez Robert SA;Route du Simplon 7;1906;Charrat VS;SH;;B, C, O, P, S;;
038;71445115;Nestlé Suisse S.A.;Industriestrasse  21;9400;Rorschach SG;CP; CS (0),  RW (0),  CP (II),  CP (III),  MM (V),  MP (V),  PP (VI),  PP (IX),  PP (X),  PP (XII);B, C, O, P, S;;
101;54050444;SBZ Schlachtbetrieb Zürich AG;Herdernstrasse 63;8004;Zürich ZH;SH; PP (XIII);B, C, O, P, S;;
103;53446278;Bell Schweiz AG Schlachtbetrieb Basel;Schlachthofstrasse 55;4056;Basel BS;SH; PP (XIII);B, C, O, P, S;;
10505;10505;R. und C. Frick AG - Metzgerei;Prär 1;9496;Balzers FL;SH; SH (III);B, C, O, P, S;;
107;52003609;Schlachtbetrieb St.Gallen AG;Schlachthofstrasse 24;9015;St. Gallen SG;SH;;B;;
115;42135665;Gustav Spiess AG Fleischprodukte;Musterplatzstrasse 2;9442;Berneck SG;SH, CP; CS (0),  RW (0),  MM (V),  MP (V),  PP (VI),  PP (VIII),  PP (X),  PP (XII),  PP (XIII);B, C, O, P, S;;
129;52159415;Zentralschlachthof Hinwil AG;Wildbachstrasse 18;8340;Hinwil ZH;SH, CP; PP (XIII);B, C, O, P, S;;
141;52119538;Bell Suisse SA, viande et charcuterie;Chemin du Châtelard 5;1033;Cheseaux-sur-Lausanne VD;SH, CP; RW (0),  WM (0),  CP (II),  MM (V),  MP (V),  PP (VI);B, C, O, P, S;;
145;52259894;Bell Schweiz AG Frischfleisch Oensingen;Dünnernstrasse 31;4702;Oensingen SO;SH, CP; MM (V),  MP (V),  PP (XIII);B, O;;
155;51944735;FF Frischfleisch AG Fleischverarbeitung;Zeughausstrasse 14;6210;Sursee LU;SH, CP; MM (V),  MP (V);B, C, O, P;;
157;45988470;Marmy SA Viande en Gros;ch. des Marais 10;1470;Estavayer-le-Lac FR;SH, CP; CS (0),  PP (VI),  PP (XIII);B;;
211;62073250;Bell Schweiz AG, Frischfleisch Basel;Hagenaustrasse 3;4056;Basel BS;CP; MP (V);B, C, O, P;;
227;74177601;Gustav Spiess AG Fleischprodukte;Kübach ;9442;Berneck SG;CP; CS (0),  RW (0),  MM (V),  MP (V),  PP (VI),  PP (XII),  PP (XIII);B, C, O, P, S;;
228;52137563;Suttero, Ernst Sutter AG;Schlachthofstrasse 20;9200;Gossau SG SG;CP; CS (0),  RW (0),  MM (V),  MP (V),  PP (VI),  PP (XII);B, C, O, P, S;;
240;74177638;Fleischhandel Crüzer AG;Rietlöser 716;7302;Landquart GR;CP; PP (VI);B, P;;
254;1757;Herbert Ospelt Anstalt;Schaanerstrasse 79;9487;Bendern FL;CP; CP (II),  CP (III),  CP (IV),  GHE (IV),  MM (V),  PP (VI),  PP (VIII),  MP (VIII);B, C, O, P, S;;
275;52097612;Albert Spiess AG Fleischwaren;Hauptstrasse ;7220;Schiers GR;CP; RW (0),  CP (III),  GHE (IV),  PP (VI),  PP (IX);B, P;;
299;52164279;Meinen AG Grossmetzgerei & -Wursterei;Schwarztorstrasse 76;3007;Bern BE;CP; RW (0),  WM (0),  CP (III),  MP (V),  PP (VI);B, C, O, P, S;;
30188302;30188302;Basil Waibel;Hohenemserstrasse 65;9444;Diepoldsau SG;SH;;B, C, O, P, S;;
306;64124866;Fleischtrocknerei Churwalden AG;Salvatorenstrasse 96;7000;Chur GR;CP; PP (VI);B, P, S;;
310;51686817;Grauwiler Fleisch AG Werk 2;Schlachthofstrasse 55;4056;Basel BS;CP; CS (0),  RW (0),  PP (VI),  PP (VIII),  PP (IX),  PP (X);B, C, O, P;;
315;73974047;MÖFAG, Mösli Fleischwaren AG;Industriestrasse 9;9524;Zuzwil SG SG;CP; CS (0),  RW (0),  MP (V),  PP (VI);B, C, O, P, S;;
319;75325248;Bigler AG Fleischwaren;Industriestrasse 19;3294;Büren an der Aare BE;CP; CP (II),  MP (V),  PP (VI),  PP (IX);B, C, O, P, S;;
324;40616493;Rapelli SA;Via laveggio 13;6855;Stabio TI;CP; CS (0),  WM (0),  CP (II),  MM (V),  MP (V),  PP (VI);B, C, O, P, S;;
327;64592493;Del Maître SA;Route de Satigny 60;1242;Satigny GE;CP; MP (V),  PP (VI),  PP (XII);P;;
329;51917789;Reber Ernst Sutter AG;Güterstrasse 12;3550;Langnau im Emmental BE;SH, CP; RW (0),  WM (0),  CP (III),  MP (V),  PP (VI);B, C, O, P, S;;
340;51963654;Micarna SA;rte de l'Industrie 25;1784;Courtepin FR;SH, CP; RW (0),  WM (0),  GHE (IV),  MM (V),  MP (V),  PP (VI);B, O, P;;
346;70080837;Schlachtbetrieb St.Gallen AG;Neue Industriestrasse 44;9602;Bazenheid SG;SH;;P;;
347;73973394;Metzgerei Angst AG;Herdernstrasse 61;8004;Zürich ZH;CP; RW (0),  WM (0),  CP (IV),  GHE (IV),  MM (V),  MP (V),  PP (VI);B, C, O, P, S;;
348;70637201;Metzgerei Angst AG  Zerlegebetrieb;Herdernstrasse 61;8004;Zürich ZH;CP;;B, C, O, P, S;;
354;70929286;Bigler AG Fleischwaren, Zerlegerei Lyss;Industriering  36;3250;Lyss BE;CP; CS (0),  RW (0),  WM (0),  MP (V),  PP (VI);B, P;;
355;66659386;Zerlegerei Hans Felder AG Fleischwarenproduktion;Wintersried 12;6423;Seewen SZ;CP; MM (V),  MP (V),  PP (VI);B, O, P, S;;
357;42917266;Bell Schweiz AG, Geflügel Zell;Zelgmatte 1, Postfach ;6144;Zell LU LU;CP; SH (II),  CP (II),  CP (III),  GHE (IV),  MM (V),  MP (V),  PP (VI);B, C, P;;
359;52130589;Lüthi & Portmann  AG;Lyssstrasse 14 b;3053;Deisswil b. Münchenbuchsee BE;CP; CS (0),  RW (0),  WM (0),  MM (V),  MP (V);B, C, O, P, S;;
40014670;40014670;BOUCHERIE LEDERMANN & CIE;route du Marchairaz 12;1045;Bière VD;SH, CP; WM (0),  PP (VI);B, O, P;;
40014670;40014670;Boucherie Ledermann & Cie Monsieur;Rte Du Marchairuz 12;1145;Bière VD;SH;;;;
40016128;76596187;Suter Viandes SA;Route de Pré au Bruit 3;1844;Villeneuve VD;CP; CS (0),  RW (0),  WM (0),  CP (II),  CP (III),  MM (V),  MP (V),  PP (VI);B, C, O, P, S;;
40071679;40071679;Salumificio Sciaroni Pio;via El Stradun 10;6513;Monte Carasso TI;CP; PP (VI);B, P;;
40181695;40181695;Gisler Bruno;Staldengasse 2;6463;Bürglen UR UR;SH;;B, C, O, P;;
40187880;40187880;Bruno Stampfli Metzgerei;Adlergartenstrasse 12;6467;Schattdorf UR;SH;;B, C, O, P;;
40190930;40190930;Adolf Kündig Metzgerei;Rickenbachstrasse 50;6430;Schwyz SZ;SH;;B, C, O, P;;
40191379;40191379;Metzgerei Dusser AG Metzgerei & Wursterei;Reichsstrasse 25;6430;Schwyz SZ;SH;;B, C, O, P;;
40193224;40193224;René Mettler Metzgerei;Kantonsstrasse 72;8864;Reichenburg SZ;SH;;B, C, O, P;;
40206611;40206611;Paul Wirz Metzgerei;Brünigstrasse 14;6055;Alpnach Dorf OW;SH;;B, C, O, P;;
40239837;40239837;Metzgerei Berwert AG;Adlerstrasse 19;8868;Oberurnen GL;SH; SH (III);B, C, O, P, S;;
40256565;40256565;Hager Metzgerei GmbH;Hinterdorfstrasse 6;8753;Mollis GL;SH; SH (III);B, C, O, P, S;;
40259126;40259126;Fleischfachgeschäft Fischer AG;Ischimattstrasse 3;4513;Langendorf SO;SH; SH (II);B, C, O;;
40260074;40260074;Metzgerei Stalder GmbH;Stanserstrasse 7;6373;Ennetbürgen NW;SH;;B, C, O, P;;
40263452;40263452;Metzgerei Villiger AG;Zugerbergstrasse 17;6314;Unterägeri ZG;SH; SH (III);B, C, O, P;;
40278532;40278532;Stübi Robert;Dorfstrasse 45;4713;Matzendorf SO;SH; SH (II),  SH (III);B, C, O, P;;
40314274;40314274;Willi und Werner Pfistner, Metzgerei;Wunderklingerstrasse 11;8215;Hallau SH;SH;;B, C, O, P, S;;
40392969;40392969;Berchtold Metzgerei AG;Buonaserstrasse 2;6343;Rotkreuz ZG;SH;;B, C, O, P;;
40411815;40411815;Dorfmetzg Thadeus Wyss;Oberdorfstrasse 15;8153;Rümlang ZH;SH; SH (II),  SH (III);B, C, O, P, S;;
40418475;40418475;Peter Korrodi-Merk Metzgerei;Schönenbergstrasse 1;8816;Hirzel ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
40442263;40442263;Metzgerei Spahni AG;Wegmühlegässli 6;3072;Ostermundigen BE;CP; RW (0),  WM (0),  CP (II),  CP (III),  MP (V),  PP (VI);B, C, O, P, S;;
40453967;40453967;Metzgerei Widmer Mark;Dorfstrasse 26;3257;Grossaffoltern BE;SH;;B, C, O, P;;
40462867;40462867;Smb de Ste-Croix;Centrale 11;1450;Ste-Croix VD;SH;;;;
40478521;40478521;Grandjean & Fils Sa Maison;Rte De Geneve 2;1033;Cheseaux-sur-Lausanne VD;SH;;;;
40519738;40519738;Müller Metzgerei AG zum Rössli;Zürichstrasse 35;8306;Brüttisellen ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
40530349;40530349;Gottfried Zuber AG;Metzgerei ;3922;Stalden VS VS;SH;;B, C, O, P;;
40585877;40585877;Metzgerei Nessier AG; ;3985;Münster VS VS;SH;;B, C, O, P, S;;
40586561;40586561;Metzgerei Eggs; ;3998;Reckingen VS VS;SH;;B, C, O, P, S;;
40625791;40625791;Marendaz Pierre;Grand Rue 11;1443;Champvent VD;SH;;;;
40704317;40704317;Montandon SA, Boucherie-Charcuterie;Grand-Rue  13;2316;Les Ponts-de-Martel NE;CP; CS (0),  RW (0),  MP (V),  PP (VI);B, P;;
40704736;40704736;Eberhardt Rudolf; ;; VS;SH;;B, C, O, P, S;;
40811924;40811924;Nicollier Jean-Pierre;Chemin De La Forge 9;1867;Ollon VD VD;SH;;;;
40818694;40818694;Venzin Felix ed Jeannette mazler;Via Sursilvana 34;7180;Disentis/Mustér GR;SH; SH (III);B, C, O, P, S;;
40818715;40818715;J. Lozza Metzgerei;Hauptstrasse ;7180;Disentis/Mustér GR;SH; SH (III);B, C, O, P, S;;
40832416;40832416;Lorenzo Fagetti Macelleria;Al Sant ;6535;Roveredo GR GR;SH; SH (III);B, C, O, P, S;;
40834020;40834020;Fritz Herrmann Spezialitäten-Metzgerei;Via Nova 39;7017;Flims Dorf GR;SH; SH (III);B, C, O, P, S;;
40835244;40835244;Renato Chiesa Macelleria/ Salumeria;Muntegn ;7603;Vicosoprano GR;SH; SH (III);B, C, O, P, S;;
40844715;40844715;Nikolaus Bieler Metzgerei zur Sonne;Versamerstrasse 20;7402;Bonaduz GR;SH; SH (III);B, C, O, P, S;;
40850373;40850373;Paul Stiffler & Söhne, Metzgerei AG;Bolgenstrasse 1;7270;Davos Platz GR;SH; SH (III);B, C, O, P, S;;
40864549;40864549;Zanetti & Co Macelleria;Via da Mez 148;7742;Poschiavo GR;SH; SH (III);B, C, O, P, S;;
40865893;40865893;Metzgerei U. Fuchs;Dorf  44;9035;Grub AR AR;SH; SH (II),  SH (III),  CP (IV);B, C, O, P, S;;
40877726;40877726;Berchtold Fleisch AG Metzgerei;Hauptstrasse 36;5037;Muhen AG;SH;;B, C, O, P, S;;
40900605;40900605;Jean Bänziger jun. Metzgerei & Restaurant Löwen;Unterdorfstrasse 8;9107;Urnäsch AR;SH; SH (II),  SH (III),  CP (IV);B, C, O, P, S;;
40915528;40915528;Zellweger Metzgerei;Sornthalstrasse 1;9213;Hauptwil TG;SH;;B, C, O, P;;
40929913;40929913;Metzgerei zum Ochsen;Hauptstrasse 6;9562;Märwil TG;SH;;B, C, O, P;;
40931729;40931729;Adrian Dobler Metzgerei;Eggethof 83;8585;Eggethof TG;SH; SH (II);B, C, O, P;;
40940770;40940770;Metzgerei Herrmann AG;Hauptstr. 29;8583;Sulgen TG;SH, CP; SH (III),  CP (III),  CP (IV),  GHE (IV),  PP (VI);B, C, O, P;;
40944508;40944508;Metzgerei Hälg AG;Bahnhofstrasse 75;9315;Neukirch (Egnach) TG;SH;;B, C, O, P;;
40957643;40957643;Metzgerei Peter AG;Hauptstrasse 33;8362;Balterswil TG;SH;;B, C, O, P;;
40960709;40960709;Ruedi Buff Metzgerei Schönthal;Schiffländestrasse 22;8272;Ermatingen TG;SH;;B, C, O, P;;
40965445;40965445;Kurt Ackermann Metzgerei;Bahnhofstrasse 54;8360;Eschlikon TG TG;SH;;B, C, O, P;;
40976232;40976232;Martin Schwarz-Gattiker Metzgerei-Wursterei-Traiteur;Hauptstrasse 64;8274;Tägerwilen TG;SH;;B, C, O, P;;
40977964;40977964;Gebr. René & Markus Felder Metzgerei;Mattenstrasse ;5745;Safenwil AG;SH; SH (II),  SH (III);B, C, O, P, S;;
40978313;40978313;Remo Sprenger Metzgerei;Kirchstrasse 8;8572;Berg TG TG;SH;;B, C, O, P;;
40980307;40980307;Werner Stöckli Metzgerei;Kratz 201;5057;Reitnau AG;SH;;B, C, O, P, S;;
40983402;40983402;Andreas Hobi Metzgerei;Weinfelderstrasse 67;9543;St. Margarethen TG TG;SH;;B, C, O, P;;
40988547;40988547;Köferli AG Metzgerei ;Hauptstrasse 37;5312;Döttingen AG;CP; GHE (IV),  MM (V),  MP (V),  PP (VI),  PP (VIII);;;
40989142;40989142;Metzgerei Gebr. Werder GmbH;Marktgasse 17;5304;Endingen AG;SH;;B, C, O, P, S;;
40990085;40990085;Sandmeier Fleisch und Feinkost AG;Hauptstrasse 27;5742;Kölliken AG;SH; SH (II),  SH (III),  GHE (IV),  MM (V),  MP (V),  MSM (V),  PP (VI),  PP (VIII),  MP (VIII);B, C, O, P, S;;
40993039;40993039;Ruedi Albrecht-Baumann Metzgerei;Seestrasse 67;8267;Berlingen TG;SH;;B, C, O, P;;
41001416;41001416;Ernst + Edgar Klauser Metzgerei;Metzgerstrasse 260;4813;Uerkheim AG;SH;;B, C, O, P, S;;
41002708;41002708;Hans-Ulrich Aebi Kundenmetzgerei;Dorfstrasse 118;5053;Wittwil AG;SH;;B, C, O, P, S;;
41015272;41015272;Urs Widmer Metzgerei-Würsterei;Hintergasse 3;9620;Lichtensteig SG;SH;;B, C, O, P, S;;
41023535;41023535;Dorfmetzg Gebr. Müller Metzgerei;Zürcherstrasse 31;4332;Stein AG AG;SH;;B, C, O, P, S;;
41027676;41027676;René Burkart Metzgerei;Unterdorfstrasse 5;5703;Seon AG;SH;;B, C, O, P, S;;
41028140;41028140;Pius Balmer, Metzgerei;Sinserstrasse 9;5646;Abtwil AG AG;SH; GHE (IV),  MM (V),  MP (V),  PP (VI),  PP (VIII);B, C, O, P, S;;
41029778;41029778;Richard Huwyler-Amhof Metzgerei;Oberdorf 1;5637;Beinwil (Freiamt) AG;SH;;B, C, O, P, S;;
41032173;41032173;METZGEREI BURKARD AG;Badstrasse 1;5737;Menziken AG;SH;;B, C, O, P, S;;
41033203;41033203;Scherrer Dorfmetzg AG;Hallwilerstrasse 109;5724;Dürrenäsch AG;SH;;B, C, O, P, S;;
41034411;41034411;Urs Kronenberg Metzgerei;Luzernerstrasse 7;5643;Sins AG;SH;;B, C, O, P, S;;
41053042;41053042;Gebrüder Blaser Metzgerei;Hauptstrasse 47;5070;Frick AG;SH;;B, C, O, P, S;;
41063674;41063674;Jürg u. Erika Biland Metzgerei;Landstrasse 19;5073;Gipf-Oberfrick AG;SH;;B, C, O, P, S;;
41063716;41063716;Ernst Gasser Metzgerei;Hauptstrasse 66;5027;Herznach AG;SH;;B, C, O, P, S;;
41065048;41065048;Kyburz Hans-Rudolf;Dorfstrasse 32;5242;Lupfig AG;SH; SH (II),  SH (III);B, C, O, P, S;;
41114187;41114187;Willi Götzl Spezilitätenmetzg;Hauptstrasse 31;9125;Brunnadern SG;SH;;B, C, O, P, S;;
41114318;41114318;Beat Peterhans Reussthal-Metzgerei;Hauptstrasse 2;5524;Niederwil AG AG;SH;;B, C, O, P, S;;
41140868;41140868;Büttner Michael;Industriestrasse 15;5303;Würenlingen AG;SH; SH (II),  SH (III),  MM (V),  MP (V);B, C, O, P, S;;
41152690;41152690;Genossenschaft Migros Ostschweiz;Industriestr.  47;9201;Gossau SG SG;CP; MM (V),  MP (V),  PP (VI);B, C, O, P, S;;
41157484;41157484;Ernst Vettiger Metzgerei;Hofstrasse 5;9606;Bütschwil SG;SH;;B, C, O, P, S;;
